GPU time (20 times):
0.0016460000
0.0012080000
0.0011450000
0.0011260000
0.0010760000
0.0010610000
0.0010560000
0.0010580000
0.0010570000
0.0010540000
0.0010550000
0.0010570000
0.0010720000
0.0010640000
0.0010610000
0.0010570000
0.0010800000
0.0010900000
0.0010670000
0.0010730000

CPU time (20 times):
0.0133440000
0.0099960000
0.0083150000
0.0064600000
0.0070670000
0.0071710000
0.0071460000
0.0071690000
0.0057660000
0.0057150000
0.0057100000
0.0058990000
0.0060680000
0.0056310000
0.0047650000
0.0048700000
0.0048680000
0.0054960000
0.0048640000
0.0047750000

Media CPU = 0.0065547500
Media GPU = 0.0011081500

Acceleration = 5.9150385778 (16% faster)
